OBJECTID;Codi estació;Carretera;PKI;PKF;Any IMD;Any càlcul;IMD;% Pesants;% Motos;Dies registrats;Nº lectures;IFA;IMD Feiners;IMD Dissabte;IMD Diumenge;Dia punta;Hora punta;Volum punta;Dia 30;Hora 30;Dia 50;Hora 50;Volum 50;Dia 100;Hora 100;Volum 100;Volum 30;Velocitat mitjana;Percentil 85;Volum pesants C1;Volum pesants C2;Volum motos C1;Volum motos C2;PKI Ref;PKI Offset;PKF Ref;PKF Offset
8102;EA00056;BP-2126;7+500;11+471;2023;2024;1749;4.01;2.02;16;2;100;1842;1594;1191;9/12/2023 2:00 a. m.;8;174;3/8/2023 1:00 a. m.;16;3/3/2023 1:00 a. m.;18;126;3/8/2023 1:00 a. m.;15;112;135;53;60_70;33;37;0;0;7;500;11;471
8103;EA00655;BV-1602;3+832;5+000;2023;2024;11068;4.74;2.77;15;2;100;12154;8076;6481;5/25/2023 2:00 a. m.;17;1465;11/24/2023 1:00 a. m.;17;11/23/2023 1:00 a. m.;8;814;11/28/2023 1:00 a. m.;7;726;866;41;0_40;338;186;0;0;3;832;5;0
8104;EA00405;BV-4601;2+400;12+418;2024;2024;2119;4.58;2.25;16;2;100;2239;1883;1423;9/14/2024 2:00 a. m.;12;280;9/12/2024 2:00 a. m.;14;4/26/2024 2:00 a. m.;8;158;4/25/2024 2:00 a. m.;9;139;168;54;60_70;48;49;0;0;2;400;12;418
8105;EA00477;BV-5126;0+335;5+383;2023;2024;314;5.05;18.66;14;2;100;259;268;228;7/17/2023 2:00 a. m.;19;50;7/12/2023 2:00 a. m.;20;10/23/2023 2:00 a. m.;16;24;10/22/2023 2:00 a. m.;17;19;28;49;50_60;14;1;0;0;0;335;5;383
8106;EA00284;BV-2212;0+000;6+080;2023;2024;122;2.69;0.93;7;1;100;107;170;143;3/11/2023 1:00 a. m.;13;22;3/12/2023 1:00 a. m.;11;3/9/2023 1:00 a. m.;7;8;3/12/2023 1:00 a. m.;16;2;10;64;70_80;2;1;0;0;0;0;6;80
8107;EA00515;BV-5229;0+000;1+275;2023;2024;2056;2.99;0.91;14;2;100;2281;1476;1380;5/3/2023 2:00 a. m.;8;247;5/3/2023 2:00 a. m.;17;5/9/2023 2:00 a. m.;18;157;12/1/2023 1:00 a. m.;11;119;186;54;60_70;52;9;0;0;0;0;1;275
8108;EA00364;BV-4131;9+500;14+376;2023;2024;904;3.14;3.29;13;2;100;945;749;649;11/21/2023 1:00 a. m.;17;108;3/25/2023 1:00 a. m.;13;11/17/2023 1:00 a. m.;19;69;11/20/2023 1:00 a. m.;8;58;75;53;60_70;16;12;0;0;9;500;14;376
8109;EA00292;BV-2242;0+000;5+000;2024;2024;2885;3.32;1.47;17;2;100;3127;2444;1819;3/2/2024 1:00 a. m.;11;280;2/28/2024 1:00 a. m.;18;2/27/2024 1:00 a. m.;18;215;2/29/2024 1:00 a. m.;20;189;227;59;60_70;52;43;0;0;0;0;5;0
8110;EA00327;BV-2428;4+125;4+760;2023;2024;1590;3.35;2.7;23;2;100;1698;1253;1085;4/29/2023 2:00 a. m.;11;188;11/29/2023 1:00 a. m.;16;4/25/2023 2:00 a. m.;19;127;11/29/2023 1:00 a. m.;8;110;138;56;60_70;26;27;0;0;4;125;4;760
8111;EA00656;BV-5001;13+410;14+480;2024;2024;7468;2.93;6.53;14;2;100;7746;5684;4446;4/12/2024 2:00 a. m.;14;814;4/9/2024 2:00 a. m.;7;4/13/2024 2:00 a. m.;13;557;10/18/2024 2:00 a. m.;12;457;607;52;60_70;86;132;0;0;13;410;14;480
